GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Apache Commons Lang,org.apache.commons.lang3.text.translate,UnicodeUnescaper,0,117,2,14,0,17,2,8,0,2
Apache Commons Lang,org.apache.commons.lang3.text.translate,AggregateTranslator,0,37,0,4,0,8,0,4,0,2
Apache Commons Lang,org.apache.commons.lang3.text.translate,CharSequenceTranslator,6,185,2,16,2,33,2,13,0,6
Apache Commons Lang,org.apache.commons.lang3.text.translate,JavaUnicodeEscaper,15,34,0,0,3,5,3,3,3,3
Apache Commons Lang,org.apache.commons.lang3.text.translate,CodePointTranslator,0,18,0,2,0,4,0,3,0,2
Apache Commons Lang,org.apache.commons.lang3.text.translate,UnicodeEscaper,15,105,0,12,3,23,2,12,2,6
Apache Commons Lang,org.apache.commons.lang3.text.translate,UnicodeUnpairedSurrogateRemover,0,13,0,4,0,4,0,4,0,2
Apache Commons Lang,org.apache.commons.lang3.text.translate,NumericEntityUnescaper.OPTION,5,55,0,0,0,2,1,3,1,3
Apache Commons Lang,org.apache.commons.lang3.text.translate,OctalUnescaper,2,114,4,20,0,17,4,12,0,4
Apache Commons Lang,org.apache.commons.lang3.text.translate,LookupTranslator,0,132,1,15,0,28,1,9,0,2
Apache Commons Lang,org.apache.commons.lang3.text.translate,NumericEntityEscaper,0,76,0,10,0,20,0,12,0,7
Apache Commons Lang,org.apache.commons.lang3.text.translate,EntityArrays,0,3463,0,2,0,284,0,14,0,13
Apache Commons Lang,org.apache.commons.lang3.text.translate,NumericEntityUnescaper,2,203,5,43,0,42,5,22,0,3
Apache Commons Lang,org.apache.commons.lang3,LocaleUtils,12,474,13,73,0,92,11,43,0,10
Apache Commons Lang,org.apache.commons.lang3,EnumUtils,0,362,1,25,0,64,1,25,0,13
Apache Commons Lang,org.apache.commons.lang3,SerializationUtils.ClassLoaderAwareObjectInputStream,8,77,1,1,2,22,1,3,0,3
Apache Commons Lang,org.apache.commons.lang3,StringEscapeUtils.CsvEscaper,5,64,1,3,1,12,1,4,0,3
Apache Commons Lang,org.apache.commons.lang3,ClassUtils.2.new Iterator() {...},4,94,1,9,1,17,2,8,1,4
Apache Commons Lang,org.apache.commons.lang3,Conversion,193,2486,84,376,32,433,75,229,1,43
Apache Commons Lang,org.apache.commons.lang3,AnnotationUtils.new ToStringStyle() {...},6,77,4,4,1,22,4,3,0,3
Apache Commons Lang,org.apache.commons.lang3,ThreadUtils.NamePredicate,0,37,2,8,0,7,2,6,0,3
Apache Commons Lang,org.apache.commons.lang3,CharUtils,0,355,0,56,0,60,0,53,0,25
Apache Commons Lang,org.apache.commons.lang3,AnnotationUtils,48,455,9,83,18,94,10,47,1,10
Apache Commons Lang,org.apache.commons.lang3,CharRange.CharacterIterator,4,126,0,18,1,35,1,13,1,4
Apache Commons Lang,org.apache.commons.lang3,NotImplementedException,0,41,0,0,0,16,0,7,0,7
Apache Commons Lang,org.apache.commons.lang3,ArrayUtils.new Comparator() {...},0,7,0,0,0,2,0,2,0,2
Apache Commons Lang,org.apache.commons.lang3,BooleanUtils,0,800,9,245,0,205,9,161,0,41
Apache Commons Lang,org.apache.commons.lang3,ObjectUtils,31,618,1,95,6,149,1,84,0,37
Apache Commons Lang,org.apache.commons.lang3,ThreadUtils.AlwaysTruePredicate,0,7,0,0,0,4,0,3,0,3
Apache Commons Lang,org.apache.commons.lang3,ThreadUtils.ThreadIdPredicate,0,27,1,5,0,6,1,4,0,2
Apache Commons Lang,org.apache.commons.lang3,StringUtils,22,6550,26,1425,6,1612,27,919,1,219
Apache Commons Lang,org.apache.commons.lang3,SerializationUtils,40,151,5,15,7,48,4,13,0,7
Apache Commons Lang,org.apache.commons.lang3,CharSet,0,300,0,34,0,59,0,26,0,9
Apache Commons Lang,org.apache.commons.lang3,RandomStringUtils,11,313,1,55,3,71,2,47,1,20
Apache Commons Lang,org.apache.commons.lang3,Range,23,400,6,72,2,85,6,57,0,24
Apache Commons Lang,org.apache.commons.lang3,RandomUtils,6,179,0,26,3,33,2,23,2,10
Apache Commons Lang,org.apache.commons.lang3,BitField,0,139,0,12,0,21,0,24,0,18
Apache Commons Lang,org.apache.commons.lang3,CharRange,0,238,1,47,0,44,1,37,0,14
Apache Commons Lang,org.apache.commons.lang3,LocaleUtils.SyncAvoid,3,16,0,0,1,4,1,1,1,1
Apache Commons Lang,org.apache.commons.lang3,ClassUtils,39,1324,13,235,11,328,14,154,1,43
Apache Commons Lang,org.apache.commons.lang3,JavaVersion,33,318,6,28,6,67,8,19,2,8
Apache Commons Lang,org.apache.commons.lang3,Validate,22,807,17,107,6,144,17,96,2,49
Apache Commons Lang,org.apache.commons.lang3,ArrayUtils,316,7050,173,1217,123,1767,150,836,6,285
Apache Commons Lang,org.apache.commons.lang3,ClassUtils.Interfaces,21,29,0,0,1,2,2,2,2,2
Apache Commons Lang,org.apache.commons.lang3,CharEncoding,0,13,0,2,0,6,0,3,0,2
Apache Commons Lang,org.apache.commons.lang3,Range.ComparableComparator,5,40,0,0,0,4,1,4,1,4
Apache Commons Lang,org.apache.commons.lang3,StringEscapeUtils.CsvUnescaper,5,88,2,6,1,14,2,5,0,3
Apache Commons Lang,org.apache.commons.lang3,SerializationException,0,16,0,0,0,8,0,4,0,4
Apache Commons Lang,org.apache.commons.lang3,CharSequenceUtils,37,172,13,35,11,43,11,21,0,8
Apache Commons Lang,org.apache.commons.lang3,ObjectUtils.Null,0,5,0,0,0,3,0,2,0,2
Apache Commons Lang,org.apache.commons.lang3,StringEscapeUtils,8,1083,0,0,2,144,2,16,2,16
Apache Commons Lang,org.apache.commons.lang3,CharSetUtils,0,253,1,53,0,62,1,34,0,8
Apache Commons Lang,org.apache.commons.lang3,ThreadUtils,0,298,5,41,0,68,5,34,0,16
Apache Commons Lang,org.apache.commons.lang3,SystemUtils,19,447,14,30,4,126,14,24,0,16
Apache Commons Lang,org.apache.commons.lang3,ClassUtils.1.new Iterator() {...},4,29,0,2,1,5,1,4,1,3
Apache Commons Lang,org.apache.commons.lang3,ClassPathUtils,0,120,0,0,0,14,0,5,0,5
Apache Commons Lang,org.apache.commons.lang3,ClassUtils.new Iterable() {...},0,21,0,0,0,4,0,2,0,2
Apache Commons Lang,org.apache.commons.lang3,ClassUtils.new Iterable() {...},0,18,0,0,0,3,0,2,0,2
Apache Commons Lang,org.apache.commons.lang3.reflect,TypeUtils,806,1501,173,237,161,335,130,129,8,46
Apache Commons Lang,org.apache.commons.lang3.reflect,TypeUtils.WildcardTypeBuilder,0,22,0,0,0,7,0,4,0,4
Apache Commons Lang,org.apache.commons.lang3.reflect,TypeUtils.GenericArrayTypeImpl,25,12,6,0,4,5,5,3,2,3
Apache Commons Lang,org.apache.commons.lang3.reflect,MemberUtils.Executable,0,38,0,0,0,12,0,6,0,6
Apache Commons Lang,org.apache.commons.lang3.reflect,TypeUtils.ParameterizedTypeImpl,32,41,3,3,7,10,4,6,1,6
Apache Commons Lang,org.apache.commons.lang3.reflect,TypeLiteral,13,68,2,2,4,12,4,4,2,4
Apache Commons Lang,org.apache.commons.lang3.reflect,TypeUtils.WildcardTypeImpl,20,47,2,4,5,9,3,7,1,6
Apache Commons Lang,org.apache.commons.lang3.reflect,TypeUtils.new Typed() {...},0,9,0,0,0,2,0,2,0,2
Apache Commons Lang,org.apache.commons.lang3.reflect,MemberUtils,25,398,10,66,6,72,11,41,1,13
Apache Commons Lang,org.apache.commons.lang3.reflect,FieldUtils,26,715,10,74,4,141,12,65,2,33
Apache Commons Lang,org.apache.commons.lang3.reflect,ConstructorUtils,15,185,3,21,4,50,4,17,1,8
Apache Commons Lang,org.apache.commons.lang3.reflect,InheritanceUtils,0,42,0,10,0,12,0,7,0,2
Apache Commons Lang,org.apache.commons.lang3.reflect,MethodUtils,52,804,18,92,13,199,15,66,0,26
Apache Commons Lang,org.apache.commons.lang3.event,EventUtils,26,80,0,0,4,13,0,3,0,3
Apache Commons Lang,org.apache.commons.lang3.event,EventListenerSupport,5,198,1,5,1,48,1,17,0,15
Apache Commons Lang,org.apache.commons.lang3.event,EventUtils.EventBindingInvocationHandler,0,58,0,8,0,11,0,7,0,3
Apache Commons Lang,org.apache.commons.lang3.event,EventListenerSupport.ProxyInvocationHandler,0,26,0,2,0,4,0,3,0,2
Apache Commons Lang,org.apache.commons.lang3.math,IEEE754rUtils,0,231,0,40,0,53,0,33,0,13
Apache Commons Lang,org.apache.commons.lang3.math,NumberUtils,39,1672,41,363,8,420,35,226,1,57
Apache Commons Lang,org.apache.commons.lang3.math,Fraction,32,1271,16,180,6,269,14,119,0,35
Apache Commons Lang,org.apache.commons.lang3.concurrent,BackgroundInitializer.InitializationTask,0,30,0,4,0,8,0,4,0,2
Apache Commons Lang,org.apache.commons.lang3.concurrent,BasicThreadFactory.Builder,0,77,0,6,0,29,0,11,0,8
Apache Commons Lang,org.apache.commons.lang3.concurrent,TimedSemaphore,0,207,0,22,0,62,0,30,0,19
Apache Commons Lang,org.apache.commons.lang3.concurrent,ConcurrentUtils.ConstantFuture,0,18,0,0,0,8,0,6,0,6
Apache Commons Lang,org.apache.commons.lang3.concurrent,CallableBackgroundInitializer,0,31,0,2,0,12,0,5,0,4
Apache Commons Lang,org.apache.commons.lang3.concurrent,EventCountCircuitBreaker.StateStrategyClosed,0,16,0,2,0,3,0,4,0,3
Apache Commons Lang,org.apache.commons.lang3.concurrent,TimedSemaphore.new Runnable() {...},0,10,0,0,0,3,0,2,0,2
Apache Commons Lang,org.apache.commons.lang3.concurrent,AbstractCircuitBreaker.State.new AbstractCircuitBreaker.State() {...},0,8,0,0,0,2,0,2,0,2
Apache Commons Lang,org.apache.commons.lang3.concurrent,AbstractCircuitBreaker.State.new AbstractCircuitBreaker.State() {...},0,8,0,0,0,2,0,2,0,2
Apache Commons Lang,org.apache.commons.lang3.concurrent,LazyInitializer,3,28,1,3,0,8,1,3,0,2
Apache Commons Lang,org.apache.commons.lang3.concurrent,ThresholdCircuitBreaker,0,48,0,4,0,15,0,7,0,5
Apache Commons Lang,org.apache.commons.lang3.concurrent,EventCountCircuitBreaker,2,218,2,10,0,52,2,24,0,20
Apache Commons Lang,org.apache.commons.lang3.concurrent,CircuitBreakingException,16,0,0,0,8,0,4,0,4,0
Apache Commons Lang,org.apache.commons.lang3.concurrent,EventCountCircuitBreaker.StateStrategyOpen,0,22,0,4,0,5,0,5,0,3
Apache Commons Lang,org.apache.commons.lang3.concurrent,ConcurrentUtils,3,159,0,34,2,42,1,29,1,12
Apache Commons Lang,org.apache.commons.lang3.concurrent,ConstantInitializer,0,57,0,6,0,14,0,9,0,6
Apache Commons Lang,org.apache.commons.lang3.concurrent,MultiBackgroundInitializer.MultiBackgroundInitializerResults,0,74,0,2,0,19,0,9,0,8
Apache Commons Lang,org.apache.commons.lang3.concurrent,EventCountCircuitBreaker.CheckIntervalData,0,29,0,2,0,8,0,5,0,4
Apache Commons Lang,org.apache.commons.lang3.concurrent,BackgroundInitializer,4,102,0,10,2,33,0,17,0,12
Apache Commons Lang,org.apache.commons.lang3.concurrent,AtomicInitializer,4,25,1,3,1,7,1,3,0,2
Apache Commons Lang,org.apache.commons.lang3.concurrent,ConcurrentException,3,11,0,0,2,4,1,2,1,2
Apache Commons Lang,org.apache.commons.lang3.concurrent,EventCountCircuitBreaker.StateStrategy,0,16,0,2,0,2,0,3,0,2
Apache Commons Lang,org.apache.commons.lang3.concurrent,MultiBackgroundInitializer,3,162,0,14,0,37,0,12,0,5
Apache Commons Lang,org.apache.commons.lang3.concurrent,AbstractCircuitBreaker,0,73,0,8,0,18,0,13,0,9
Apache Commons Lang,org.apache.commons.lang3.concurrent,ConcurrentRuntimeException,3,11,0,0,2,4,1,2,1,2
Apache Commons Lang,org.apache.commons.lang3.concurrent,AtomicSafeInitializer,0,33,0,4,0,8,0,4,0,2
Apache Commons Lang,org.apache.commons.lang3.concurrent,AbstractCircuitBreaker.State,5,45,0,0,0,4,1,3,1,3
Apache Commons Lang,org.apache.commons.lang3.concurrent,BasicThreadFactory,0,107,0,10,0,30,0,14,0,9
Apache Commons Lang,org.apache.commons.lang3.tuple,MutableTriple,0,43,0,0,0,17,0,9,0,9
Apache Commons Lang,org.apache.commons.lang3.tuple,ImmutableTriple,0,28,0,0,0,9,0,5,0,5
Apache Commons Lang,org.apache.commons.lang3.tuple,Triple,4,129,2,14,0,18,2,13,0,7
Apache Commons Lang,org.apache.commons.lang3.tuple,ImmutablePair,4,21,0,0,1,7,1,4,1,4
Apache Commons Lang,org.apache.commons.lang3.tuple,Pair,2,107,1,11,0,17,1,14,0,9
Apache Commons Lang,org.apache.commons.lang3.tuple,MutablePair,0,40,0,0,0,16,0,8,0,8
Apache Commons Lang,org.apache.commons.lang3.exception,ContextedRuntimeException,0,97,0,2,0,28,0,15,0,14
Apache Commons Lang,org.apache.commons.lang3.exception,CloneFailedException,8,5,0,0,4,2,2,1,2,1
Apache Commons Lang,org.apache.commons.lang3.exception,ExceptionUtils,49,602,6,88,15,151,8,69,4,26
Apache Commons Lang,org.apache.commons.lang3.exception,ContextedException,0,97,0,2,0,28,0,15,0,14
Apache Commons Lang,org.apache.commons.lang3.exception,DefaultExceptionContext,0,227,0,24,0,49,0,20,0,8
Apache Commons Lang,org.apache.commons.lang3.mutable,MutableFloat,0,218,0,4,0,60,0,34,0,32
Apache Commons Lang,org.apache.commons.lang3.mutable,MutableInt,0,209,0,4,0,59,0,32,0,30
Apache Commons Lang,org.apache.commons.lang3.mutable,MutableShort,0,226,0,4,0,60,0,33,0,31
Apache Commons Lang,org.apache.commons.lang3.mutable,MutableDouble,0,226,0,4,0,61,0,34,0,32
Apache Commons Lang,org.apache.commons.lang3.mutable,MutableByte,0,226,0,4,0,60,0,33,0,31
Apache Commons Lang,org.apache.commons.lang3.mutable,MutableBoolean,0,88,0,8,0,27,0,20,0,16
Apache Commons Lang,org.apache.commons.lang3.mutable,MutableLong,0,216,0,4,0,59,0,32,0,30
Apache Commons Lang,org.apache.commons.lang3.mutable,MutableObject,0,59,0,10,0,18,0,12,0,7
Apache Commons Lang,org.apache.commons.lang3.builder,CompareToBuilder,55,989,30,210,21,239,32,119,2,29
Apache Commons Lang,org.apache.commons.lang3.builder,RecursiveToStringStyle,0,47,1,5,0,14,1,6,0,4
Apache Commons Lang,org.apache.commons.lang3.builder,ToStringStyle.JsonToStringStyle,207,192,42,22,70,56,33,17,8,10
Apache Commons Lang,org.apache.commons.lang3.builder,DiffBuilder.new Diff() {...},0,21,0,0,0,3,0,3,0,3
Apache Commons Lang,org.apache.commons.lang3.builder,DiffBuilder.new Diff() {...},0,21,0,0,0,3,0,3,0,3
Apache Commons Lang,org.apache.commons.lang3.builder,DiffBuilder.new Diff() {...},0,19,0,0,0,3,0,3,0,3
Apache Commons Lang,org.apache.commons.lang3.builder,DiffBuilder.new Diff() {...},0,21,0,0,0,3,0,3,0,3
Apache Commons Lang,org.apache.commons.lang3.builder,DiffBuilder.new Diff() {...},0,21,0,0,0,3,0,3,0,3
Apache Commons Lang,org.apache.commons.lang3.builder,DiffBuilder.new Diff() {...},0,21,0,0,0,3,0,3,0,3
Apache Commons Lang,org.apache.commons.lang3.builder,DiffBuilder.new Diff() {...},0,21,0,0,0,3,0,3,0,3
